contlabel,BirdID,TagID,Visual,Triangulation,Home Range
98,GREY,Grey/Grey,15287.3926995173,21383.0381199343,23378.9448213633
97,GREY,Grey/Grey,15015.6410136998,21046.8973482717,23097.2958812065
96,GREY,Grey/Grey,14751.8344856624,18922.1696236049,22878.8874359499
95,GREY,Grey/Grey,14494.0994411733,16389.9517358075,22682.2686995191
94,GREY,Grey/Grey,14243.0531815696,14408.3037434982,18792.4509026243
93,GREY,Grey/Grey,13996.7987243622,12881.2969908201,15970.2226007325
92,GREY,Grey/Grey,13755.6285945619,12696.5166665076,14188.2102682351
91,GREY,Grey/Grey,13520.370206119,12514.9023170413,13501.1819359164
90,GREY,Grey/Grey,13289.3181265118,12336.0450590862,12853.4982687989
89,GREY,Grey/Grey,13062.2413080244,11966.8240141927,12687.2698755974
88,GREY,Grey/Grey,12867.2783254104,11510.4182026864,12678.780005081
87,GREY,Grey/Grey,12679.2150261084,11070.3438470443,12562.5507905162
86,GREY,Grey/Grey,12494.1637037429,10676.1369754401,11970.7820993946
85,GREY,Grey/Grey,12311.8962333754,10408.2528618099,11408.2092229973
84,GREY,Grey/Grey,12132.218788682,10145.7330138885,11159.2557770028
83,GREY,Grey/Grey,11955.543103833,9888.59008837806,11095.6384090069
82,GREY,Grey/Grey,11781.6627592412,9767.06790547282,11013.8096562852
81,GREY,Grey/Grey,11610.5861989584,9688.06418819909,10597.2492308642
80,GREY,Grey/Grey,11441.8745694688,9609.44308436965,10194.8676961464
79,GREY,Grey/Grey,11275.5144355851,9458.29475473729,9886.17150944145
78,GREY,Grey/Grey,11111.8887297669,9150.15661640093,9668.71167764696
77,GREY,Grey/Grey,10732.9620332548,8848.47211039742,9455.25089298596
76,GREY,Grey/Grey,10307.478649874,8553.19532150764,9038.59758199006
75,GREY,Grey/Grey,9897.28507805569,8175.87184625305,8618.77023782025
74,GREY,Grey/Grey,9501.38062532921,7794.42419632152,8216.54174783344
73,GREY,Grey/Grey,9118.51497243741,7421.98962920957,7833.49892384605
72,GREY,Grey/Grey,8747.93294867571,7146.86967215873,7461.68872128311
71,GREY,Grey/Grey,8388.25665050326,7000.6812400315,7284.14715704601
70,GREY,Grey/Grey,8038.36941682734,6855.67969102063,7155.97516712616
69,GREY,Grey/Grey,7698.1285789283,6711.97349496663,7055.55892837723
68,GREY,Grey/Grey,7365.61506071998,6658.55853799661,7044.1727092443
67,GREY,Grey/Grey,7041.24443307659,6608.4634141936,7032.79574907653
66,GREY,Grey/Grey,6797.95767990116,6558.49037045601,7015.56748474762
65,GREY,Grey/Grey,6595.15825055441,6489.05190907931,6995.43179287412
64,GREY,Grey/Grey,6394.66544849623,6401.67155084584,6963.7739039592
63,GREY,Grey/Grey,6196.67586288531,6314.74710724505,6831.6175515044
62,GREY,Grey/Grey,6000.59324581211,6232.80906758305,6700.64078695531
61,GREY,Grey/Grey,5806.58300570387,6213.8598106032,6562.58760466264
60,GREY,Grey/Grey,5614.15214467188,6194.92747859377,6418.68446067185
59,GREY,Grey/Grey,5423.68820050124,6176.01688604779,6276.00128676632
58,GREY,Grey/Grey,5234.37143298495,6102.15868304623,6238.54657648108
57,GREY,Grey/Grey,5046.74482573767,5995.18105536333,6203.93022364052
56,GREY,Grey/Grey,4860.01477833418,5888.92313743499,6128.68348399736
55,GREY,Grey/Grey,4696.1133487022,5799.32618511637,5995.77551653655
54,GREY,Grey/Grey,4549.57645135804,5787.49809481145,5863.89338261494
53,GREY,Grey/Grey,4403.83259999263,5775.67518830765,5763.2467050096
52,GREY,Grey/Grey,4258.92254930781,5763.85670069896,5668.83778375317
51,GREY,Grey/Grey,4114.39621105092,5694.19250585162,5566.09177568683
50,GREY,Grey/Grey,3970.92481387104,5602.85557283717,5441.7279222277
49,GREY,Grey/Grey,3828.36006290466,5511.90137683344,5318.46374908998
48,GREY,Grey/Grey,3687.02967777662,5435.07746355449,5278.84988376487
47,GREY,Grey/Grey,3548.44684485695,5394.76888427802,5271.83569969912
46,GREY,Grey/Grey,3411.71569770388,5354.54393219866,5188.23248635815
45,GREY,Grey/Grey,3279.05223717098,5314.3804052237,4692.77936845552
44,GREY,Grey/Grey,3179.55157321389,4894.29414418759,4210.36997506954
43,GREY,Grey/Grey,3118.2158275551,4402.94122200692,3855.83948332141
42,GREY,Grey/Grey,3057.89070963359,3918.59072320722,3587.23506319895
41,GREY,Grey/Grey,2998.7596014454,3592.98881168623,3327.38488458027
40,GREY,Grey/Grey,2940.76792045246,3520.66008582897,3309.61363507109
39,GREY,Grey/Grey,2883.67359389341,3448.2621945783,3291.82927899645
38,GREY,Grey/Grey,2827.59817456687,3375.85484937507,3244.33524282302
37,GREY,Grey/Grey,2772.3843571177,3292.13058685465,3162.44787011226
36,GREY,Grey/Grey,2718.25077088131,3207.66070895712,3080.71698765899
35,GREY,Grey/Grey,2665.04378332198,3123.21260259161,3011.037502944
34,GREY,Grey/Grey,2612.31001822185,2991.61028987402,2942.80480441009
33,GREY,Grey/Grey,2524.31584832305,2809.56310830032,2896.08919788606
32,GREY,Grey/Grey,2368.67129047727,2627.82793052931,2892.33943140216
31,GREY,Grey/Grey,2219.33603094751,2452.57953339047,2888.58969414781
30,GREY,Grey/Grey,2075.36765588843,2437.21646538167,2699.96096194605
29,GREY,Grey/Grey,1936.49929120671,2421.83267798407,2455.84819309626
28,GREY,Grey/Grey,1802.3386405583,2406.43720155203,2222.23676491855
27,GREY,Grey/Grey,1671.59960677847,2347.90347456676,2030.89873442915
26,GREY,Grey/Grey,1544.93604653142,2259.02128590853,1838.41262541176
25,GREY,Grey/Grey,1421.64957755315,2170.91538317397,1736.52668881812
24,GREY,Grey/Grey,1300.9202051356,2083.67431316292,1686.92400798737
23,GREY,Grey/Grey,1183.94513465557,2001.87215660838,1637.97455078037
22,GREY,Grey/Grey,1093.72201682162,1920.62792402972,1598.33755544364
21,GREY,Grey/Grey,1090.71806358488,1839.82338036865,1558.54551760876
20,GREY,Grey/Grey,1087.71594370797,1772.88616985222,1523.9147104554
19,GREY,Grey/Grey,1084.71565714781,1711.66963890451,1493.90616928658
18,GREY,Grey/Grey,1081.71720396483,1651.29646931586,1463.70324452547
17,GREY,Grey/Grey,1078.72141648573,1544.46781796496,1357.60945515893
16,GREY,Grey/Grey,1075.72819538065,1294.48468774557,1245.74299575412
15,GREY,Grey/Grey,1072.73679176043,1054.17137983348,1141.41530702426
14,GREY,Grey/Grey,1069.74720560538,828.305006032344,1049.70641841945
13,GREY,Grey/Grey,1066.75943686231,703.221002103994,956.531422479544
12,GREY,Grey/Grey,1063.77348559676,605.090790264308,847.943703621626
11,GREY,Grey/Grey,1054.14033960737,511.190124446701,733.700539487996
10,GREY,Grey/Grey,991.907361085759,442.901897687698,612.246040696511
9,GREY,Grey/Grey,930.760899607558,420.535995370476,480.842198514612
8,GREY,Grey/Grey,870.035130699398,398.289612773107,332.765222962247
7,GREY,Grey/Grey,809.744619279722,376.532868963899,254.225515409606
6,GREY,Grey/Grey,750.474065653514,346.772861388163,220.759911711561
5,GREY,Grey/Grey,691.905954525457,315.788854148239,194.161197934765
4,GREY,Grey/Grey,633.926553993253,284.80662859825,187.502825427568
3,GREY,Grey/Grey,576.358390484704,240.245697727194,180.961944713243
2,GREY,Grey/Grey,519.644543370698,177.259370563668,151.532485351665
1,GREY,Grey/Grey,463.424225385417,116.329301225254,109.93656998442
99,GRUE,Blue/Green,9155.8655665571,46825.9798583901,42520.7214646772
98,GRUE,Blue/Green,9146.77070456598,45962.8617134076,40877.0051307147
97,GRUE,Blue/Green,9137.67321977974,45119.5800599237,39327.0059308619
96,GRUE,Blue/Green,9128.57719575753,44293.7954462895,37859.4086013325
95,GRUE,Blue/Green,9119.49026149628,43484.7390223145,36465.9616714879
94,GRUE,Blue/Green,9110.39984832949,42694.7854026314,35425.6558639393
93,GRUE,Blue/Green,9101.30218964,41920.3089196198,34424.1664434178
92,GRUE,Blue/Green,9092.18641776231,41161.0989183269,33462.7361237622
91,GRUE,Blue/Green,9083.08151153289,40418.0263505438,32537.8371795015
90,GRUE,Blue/Green,9073.99491420481,39688.7114897184,31650.0251862537
89,GRUE,Blue/Green,9064.90902868938,37006.7009378375,30166.2682627984
88,GRUE,Blue/Green,8909.73217354831,34560.9783212822,28785.4230068275
87,GRUE,Blue/Green,8735.81184606941,32356.1554521145,27501.6819513924
86,GRUE,Blue/Green,8560.39298102364,30364.8845109553,26305.795359624
85,GRUE,Blue/Green,8383.57990836608,28553.0713083753,25188.4181513581
84,GRUE,Blue/Green,8205.75389440556,26888.3791269488,23193.8220194001
83,GRUE,Blue/Green,8026.26477369992,25344.8288639481,21425.4054878689
82,GRUE,Blue/Green,7845.34623025957,23902.8594801472,19841.474222512
81,GRUE,Blue/Green,7663.51260834292,22549.0866672024,18408.1669747876
80,GRUE,Blue/Green,7480.60576520942,21271.1639043223,17097.796913268
79,GRUE,Blue/Green,7296.72802308237,19693.7867383659,15382.557028682
78,GRUE,Blue/Green,7112.28245301469,18213.9522094186,13836.3361459225
77,GRUE,Blue/Green,6967.01599693927,16819.6337647098,12426.8230209015
76,GRUE,Blue/Green,6832.65794152534,15499.8483775239,11128.694928122
75,GRUE,Blue/Green,6698.11068965402,14246.5067670504,9925.03743295697
74,GRUE,Blue/Green,6564.29868124105,13051.6381529132,9746.87946395716
73,GRUE,Blue/Green,6430.36051402986,11909.6590977274,9570.9030672228
72,GRUE,Blue/Green,6296.76458642341,10814.455409117,9396.96810516249
71,GRUE,Blue/Green,6164.00102989178,9763.44746761862,9224.85412801336
70,GRUE,Blue/Green,6030.74401601707,8750.09468371904,9054.31606554799
69,GRUE,Blue/Green,5897.79055319063,8685.91445140564,9029.99816431012
68,GRUE,Blue/Green,5765.56139165047,8621.88224462932,9005.73139709793
67,GRUE,Blue/Green,5632.68946807436,8558.04198003793,8981.51281963941
66,GRUE,Blue/Green,5444.67549576005,8494.30969206244,8957.3424074091
65,GRUE,Blue/Green,5229.48341627023,8430.6599420039,8933.20185329308
64,GRUE,Blue/Green,5015.12134006084,8367.08680086676,8598.66181330383
63,GRUE,Blue/Green,4801.22684184095,8303.63826818718,8270.51811833552
62,GRUE,Blue/Green,4587.05920899952,8240.28607375361,7949.03002931705
61,GRUE,Blue/Green,4370.74912215327,8177.17771128844,7632.97650136426
60,GRUE,Blue/Green,4154.83825159632,8114.31231793948,7323.5735397063
59,GRUE,Blue/Green,3939.02377719263,8073.82471583039,7176.50260283705
58,GRUE,Blue/Green,3720.98097123124,8033.40314865764,7030.69889413007
57,GRUE,Blue/Green,3498.00715863041,7993.03368464857,6886.58615331631
56,GRUE,Blue/Green,3267.79404466902,7952.68793519912,6743.75360871758
55,GRUE,Blue/Green,3106.96545755371,7912.38205524581,6601.98883021111
54,GRUE,Blue/Green,3006.19583458174,7872.0876911683,6474.07282911055
53,GRUE,Blue/Green,2900.74083557783,7831.80125395488,6347.25190156139
52,GRUE,Blue/Green,2787.7213200978,7791.57013473101,6221.19680556189
51,GRUE,Blue/Green,2652.93897680752,7751.40512895864,6096.00837896415
50,GRUE,Blue/Green,2530.00310726371,7711.29677666165,5971.58335309569
49,GRUE,Blue/Green,2420.51334048901,7319.8859555237,5759.95325231995
48,GRUE,Blue/Green,2316.87628965359,6934.96443475588,5551.17099229107
47,GRUE,Blue/Green,2217.80393585609,6553.78669624054,5345.04351527389
46,GRUE,Blue/Green,2122.94216726255,6179.23073378485,5142.01888110768
45,GRUE,Blue/Green,2029.91315285116,5808.62301768479,4941.54613860929
44,GRUE,Blue/Green,1975.95873283478,5443.20294908341,4812.12795851659
43,GRUE,Blue/Green,1968.06340352025,5083.25253430009,4683.94712307211
42,GRUE,Blue/Green,1960.1790717612,4727.95815761853,4556.76151101664
41,GRUE,Blue/Green,1952.30551668024,4375.04202619105,4431.12390316557
40,GRUE,Blue/Green,1944.44301034557,4030.09286155179,4306.74776292732
39,GRUE,Blue/Green,1936.59046536917,3925.60932514118,4079.92004938889
38,GRUE,Blue/Green,1928.76437760238,3821.32164762169,3855.81877640379
37,GRUE,Blue/Green,1920.969708452,3717.033979523,3635.47854216443
36,GRUE,Blue/Green,1913.20841862075,3612.89589462185,3418.74207062554
35,GRUE,Blue/Green,1905.46889233636,3509.22449382069,3206.3169667304
34,GRUE,Blue/Green,1897.75225615501,3406.14997586794,2959.51812402345
33,GRUE,Blue/Green,1873.89056508755,3303.75871360488,2716.33068727888
32,GRUE,Blue/Green,1818.24695717474,3201.84818413481,2478.93731889979
31,GRUE,Blue/Green,1763.05224738596,3101.17547690775,2246.09522318467
30,GRUE,Blue/Green,1708.53539839154,3000.61541077588,2018.59868640918
29,GRUE,Blue/Green,1654.35409367643,2989.33026871528,1964.95470555662
28,GRUE,Blue/Green,1599.87154947128,2978.0449163653,1911.37449734099
27,GRUE,Blue/Green,1546.65569838672,2966.76074451767,1858.03211497609
26,GRUE,Blue/Green,1493.99357227422,2955.46912471112,1805.11536277365
25,GRUE,Blue/Green,1441.71710854629,2944.17159207817,1752.44910640828
24,GRUE,Blue/Green,1389.76197672542,2932.86936975177,1728.3189473746
23,GRUE,Blue/Green,1337.70047802565,2921.55719300546,1704.29452727793
22,GRUE,Blue/Green,1284.40676555689,2910.23208103841,1680.25612561381
21,GRUE,Blue/Green,1226.79790529609,2898.9131439114,1656.28517533746
20,GRUE,Blue/Green,1178.49522372888,2887.57276483485,1632.40406540874
19,GRUE,Blue/Green,1140.2412754125,2785.70691660978,1629.44698865619
18,GRUE,Blue/Green,1101.96130164328,2684.09437348321,1626.49688582635
17,GRUE,Blue/Green,1064.06820678804,2582.58926058386,1623.54755607527
16,GRUE,Blue/Green,1025.96124745393,2482.30874995096,1620.59899947699
15,GRUE,Blue/Green,987.866461611819,2382.78075627889,1617.651216025
14,GRUE,Blue/Green,949.857060306822,2283.54619358107,1615.09213476535
13,GRUE,Blue/Green,911.517842632951,2184.40328055248,1612.53382188408
12,GRUE,Blue/Green,873.905628813198,2085.64527853578,1609.98191751447
11,GRUE,Blue/Green,838.273678530939,1987.27129914821,1607.4305918864
10,GRUE,Blue/Green,817.320379411569,1889.37856953032,1604.87984500546
9,GRUE,Blue/Green,795.533872636734,1866.50451470912,1583.80598133337
8,GRUE,Blue/Green,774.512029763777,1843.57790315989,1562.77170494571
7,GRUE,Blue/Green,753.614819301525,1820.74534548633,1541.77094576135
6,GRUE,Blue/Green,732.926874984056,1797.92838713154,1520.82038861373
5,GRUE,Blue/Green,712.214444683515,1775.12687548716,1499.90602323366
4,GRUE,Blue/Green,690.55167790316,1752.26819982129,1333.99849195778
3,GRUE,Blue/Green,668.905464181094,1729.46200357727,1170.96100435033
2,GRUE,Blue/Green,648.044157630298,1706.78816473763,1009.76416758448
1,GRUE,Blue/Green,627.228826545877,1684.17047843197,852.553654412739
99,JR,Blue/Orange,6484.37222296324,9812.73248298402,10389.2832431017
98,JR,Blue/Orange,6096.62284806371,9691.34589932993,10350.96751912
97,JR,Blue/Orange,5755.83959473728,9564.47485034427,10312.5964735205
96,JR,Blue/Orange,5444.3078901628,9433.56265828409,10261.9655849277
95,JR,Blue/Orange,5154.7322278769,9333.03892200394,10143.550356106
94,JR,Blue/Orange,4914.07157578389,9242.73446729442,10023.6965989069
93,JR,Blue/Orange,4907.69239519397,9156.57987111981,9902.77513146773
92,JR,Blue/Orange,4901.32790299854,9073.50492995873,9448.74891787989
91,JR,Blue/Orange,4894.98946512921,8992.54869653168,8442.00498444395
90,JR,Blue/Orange,4888.65785026806,8913.65466528409,7785.54396994377
89,JR,Blue/Orange,4882.33281805157,8836.13007140544,7207.63267599617
88,JR,Blue/Orange,4834.80986345536,8759.90730450419,6862.64910410263
87,JR,Blue/Orange,4657.53290364286,8327.52339686904,6748.48451716441
86,JR,Blue/Orange,4486.93815097737,7620.6436737458,6635.41924802243
85,JR,Blue/Orange,4341.45191188762,7013.01827928331,6522.28658418986
84,JR,Blue/Orange,4237.38523416739,6482.1047217483,6297.10034625896
83,JR,Blue/Orange,4136.52315714315,6006.38334350009,5990.32422414096
82,JR,Blue/Orange,3978.97005889891,5572.02018123644,5781.26983436709
81,JR,Blue/Orange,3726.95388875518,5170.08301696635,5600.38452078722
80,JR,Blue/Orange,3495.88310707853,4794.59831258716,5184.79526656528
79,JR,Blue/Orange,3282.63247730159,4441.25557092356,4757.86667120585
